Account Number,Birthday,Gender,Ethnicity,Zip Code,Veteran,Disabled,Refugee
3491,1956,Male,W,83705,FALSE,FALSE,FALSE
3491,1970,Female,AI,83705,FALSE,TRUE,FALSE
3492,1971,Male,W,83702,FALSE,FALSE,FALSE
3493,1965,Female,W,83705,FALSE,FALSE,FALSE
3493,1964,Male,W,83705,FALSE,FALSE,FALSE
3494,1969,Female,W,83709,FALSE,FALSE,FALSE
3495,1968,Male,H,83702,FALSE,FALSE,FALSE
3496,1970,Female,W,83714,FALSE,FALSE,FALSE
3497,1966,Male,W,83702,FALSE,TRUE,FALSE
3498,1970,Female,W,83702,FALSE,FALSE,FALSE
3499,1973,Female,W,83713,FALSE,FALSE,FALSE
3499,1997,Male,W,83713,FALSE,FALSE,FALSE
3500,1958,Male,W,83714,FALSE,TRUE,FALSE
3500,1992,Female,W,83714,FALSE,FALSE,FALSE
3500,2012,Female,W,83714,FALSE,FALSE,FALSE
3500,2012,Female,W,83714,FALSE,FALSE,FALSE
3501,1958,Female,W,83704,FALSE,FALSE,FALSE
3501,1995,Male,W,83704,FALSE,FALSE,FALSE
3501,1966,Male,W,83704,FALSE,FALSE,FALSE
3502,1973,Male,W,83706,FALSE,FALSE,FALSE
3502,1974,Female,W,83706,FALSE,FALSE,FALSE
3503,1955,Male,W,83714,TRUE,TRUE,FALSE
3503,1955,Female,W,83714,FALSE,FALSE,FALSE
3505,1972,Female,A,83705,FALSE,FALSE,FALSE
3505,1998,Female,A,83705,FALSE,FALSE,FALSE
3506,1963,Female,A,83705,FALSE,FALSE,FALSE
3506,1949,Male,A,83705,FALSE,FALSE,FALSE
3507,1995,Male,W,83703,FALSE,FALSE,FALSE
3509,1981,Male,W,83713,FALSE,FALSE,FALSE
3509,1973,Female,H,83713,FALSE,FALSE,FALSE
3509,2014,Male,W,83713,FALSE,FALSE,FALSE
3509,2003,Female,W,83713,FALSE,FALSE,FALSE
3510,1958,Male,W,83706,FALSE,FALSE,FALSE
3511,1942,Female,W,83704,FALSE,FALSE,FALSE
3512,1987,Female,OM,83709,FALSE,FALSE,FALSE
3512,1995,Male,OM,83709,FALSE,FALSE,FALSE
3512,2006,Female,OM,83709,FALSE,FALSE,FALSE
3512,2007,Female,OM,83709,FALSE,FALSE,FALSE
3513,1973,Male,W,83705,FALSE,FALSE,TRUE
3513,1978,Female,W,83705,FALSE,FALSE,FALSE
3513,2001,Female,W,83705,FALSE,FALSE,FALSE
3513,1995,Male,W,83705,FALSE,FALSE,FALSE
3514,1991,Male,W,83705,FALSE,FALSE,FALSE
3515,1968,Male,W,83705,FALSE,FALSE,FALSE
3516,1979,Male,W,83705,FALSE,FALSE,FALSE
3517,1967,Female,W,83705,FALSE,TRUE,FALSE
3518,1990,Unknown,W,83704,FALSE,FALSE,FALSE
3518,1985,Male,W,83704,FALSE,FALSE,FALSE
3518,2019,Declined to Say,NA,83704,FALSE,FALSE,FALSE
3518,2019,Declined to Say,NA,83704,FALSE,FALSE,FALSE
3519,1987,Male,OM,83714,FALSE,FALSE,FALSE
3519,1988,Female,W,83714,FALSE,FALSE,FALSE
